Date,Open,High,Low,Close,Volume
1984-09-09,0.0996047,0.100827,0.0984022,0.0996047,98811715
1984-09-16,0.0996047,0.107124,0.0972099,0.10472,954568288
1984-09-23,0.10744,0.108938,0.0996047,0.100827,667384362
1984-09-30,0.100827,0.102304,0.0923906,0.0941941,826115858
1984-10-07,0.0939084,0.0959978,0.0920853,0.0932972,664008250
1984-10-14,0.0932972,0.0939084,0.0845459,0.0851571,1169737015
1984-10-21,0.0899665,0.10262,0.0896707,0.0959978,1295026167
1984-10-28,0.0959978,0.0996047,0.0920853,0.0923906,879655532
1984-11-04,0.0926865,0.0948052,0.0926865,0.0932972,308796559
1984-11-11,0.0932972,0.0990135,0.0863791,0.0872857,1120902767
1984-11-18,0.0902817,0.0923906,0.0866846,0.0872857,731796715
1984-11-25,0.0872857,0.0902817,0.0821514,0.0890794,963713036
1984-12-02,0.0899665,0.0996047,0.0899665,0.0926865,1094398884
1984-12-09,0.0926865,0.106532,0.0914741,0.102304,1534598651
1984-12-16,0.102304,0.102304,0.0956921,0.0990135,603264438
1984-12-23,0.101417,0.107734,0.100227,0.101417,1242603023
1984-12-30,0.103232,0.108327,0.103232,0.107734,473296645
1985-01-06,0.109243,0.109845,0.10472,0.106532,815242917
1985-01-13,0.106532,0.113482,0.105014,0.111647,1140335493
1985-01-20,0.114644,0.116762,0.105014,0.10744,1929074405
1985-01-27,0.109845,0.113482,0.106532,0.111038,2250471826
1985-02-03,0.113482,0.114644,0.106532,0.10744,1830395831
1985-02-10,0.109845,0.114053,0.109845,0.112228,1163037778
1985-02-17,0.114375,0.115273,0.10262,0.105014,2018634951
1985-02-24,0.10472,0.10472,0.0990135,0.103526,1073503911
1985-03-03,0.103526,0.104127,0.0899665,0.0932972,1492463356
1985-03-10,0.0948052,0.0974956,0.0776377,0.0806633,1999733958
1985-03-17,0.0833635,0.0872857,0.0809687,0.0848515,1399898860
1985-03-24,0.085768,0.0866846,0.0824471,0.0833635,1120344552
1985-03-31,0.0833635,0.0851571,0.0809687,0.083058,664034817
1985-04-07,0.083058,0.0848515,0.0773323,0.0782388,885344317
1985-04-14,0.0782388,0.0824471,0.0734297,0.0782388,1078475161
1985-04-21,0.0803577,0.0863791,0.0803577,0.0845459,651753206
1985-04-28,0.0845459,0.0848515,0.0809687,0.0821514,601882045
1985-05-05,0.0821514,0.0824471,0.0722076,0.0752528,833319891
1985-05-12,0.0752528,0.0770464,0.0740407,0.0758441,677991337
1985-05-19,0.0758441,0.083058,0.0740407,0.08156,927825074
1985-05-26,0.08156,0.0833635,0.0680094,0.0680094,1541536880
1985-06-02,0.0671029,0.0677138,0.0632,0.0652894,1711167635
1985-06-09,0.0638013,0.0664919,0.0601844,0.0613967,2386341200
1985-06-16,0.0613967,0.0620077,0.0553753,0.0553753,2148097768
1985-06-23,0.0556708,0.0620077,0.0556708,0.0604999,1222957582
1985-06-30,0.0647078,0.0695173,0.0647078,0.0677138,1139404958
1985-07-07,0.0680094,0.0683246,0.0647078,0.0659005,339713461
1985-07-14,0.0659005,0.0680094,0.0659005,0.0671029,543663706
1985-07-21,0.0671029,0.0683246,0.0647078,0.0652894,751468639
1985-07-28,0.0652894,0.0652894,0.0607857,0.0622836,1157481878
1985-08-04,0.0622836,0.0622836,0.0592878,0.0592878,470797750
1985-08-11,0.0592878,0.0601844,0.0556708,0.0571786,612223153
1985-08-18,0.0571786,0.0580658,0.0541729,0.0547743,683839759
1985-08-25,0.0562721,0.0571786,0.0553753,0.0553753,426243472
1985-09-01,0.0568732,0.0577701,0.0556708,0.0562721,259324117
1985-09-08,0.0562721,0.0568732,0.0553753,0.0562721,249966775
1985-09-15,0.0571786,0.0604999,0.0571786,0.0592878,620543781
1985-09-22,0.0592878,0.0640968,0.0571786,0.0629044,786080713
1985-09-29,0.0632,0.0647078,0.0595734,0.0595734,440970884
1985-10-06,0.0595734,0.0601844,0.0562721,0.0562721,314432209
1985-10-13,0.0562721,0.0607857,0.0562721,0.0601844,761623611
1985-10-20,0.0622836,0.0716065,0.0622836,0.0664919,1561953211
1985-10-27,0.0664919,0.0707195,0.0647078,0.0677138,1219661197
1985-11-03,0.0677138,0.0722076,0.0671029,0.0698227,788685866
